root
 |-- Receta: string (nullable = true)
 |-- Personas: integer (nullable = true)
 |-- Ingrediente: string (nullable = true)
 |-- monto: decimal(10,2) (nullable = true)
 |-- Unidad: string (nullable = true)

+--------------------+--------+--------------------+------+------------+
|              Receta|Personas|         Ingrediente| monto|      Unidad|
|Asado de Puerco. ...|       6|      Carne de cerdo|  0.75|        kilo|
|Asado de Puerco. ...|       6|              Laurel|  1.00|        hoja|
|Asado de Puerco. ...|       6|       Comino molido|  0.50| cucharadita|
|Asado de Puerco. ...|       6|                 Sal|  1.00|       gusto|
|Asado de Puerco. ...|       6|Pimienta negra mo...|  1.00|       gusto|
|Albóndigas en Sa...|       4|                 Ajo|  1.00|      diente|
|Albóndigas en Sa...|       4|            Jitomate|  5.00|      piezas|
|Albóndigas en Sa...|       4|             Cebolla|  0.25|       pieza|
|Albóndigas en Sa...|       4|         Hierbabuena|  4.00|       hojas|
|Albóndigas en Sa...|       4|Arroz cocido al v...|  1.00|        taza|
|Albóndigas en Sa...|       4|             Bolillo|  0.50|       pieza|
|Albóndigas en Sa...|       4|           Jitomates|  6.00|      piezas|
|Albóndigas en Sa...|       4|             Cebolla|  0.25|       pieza|
|Albóndigas en Sa...|       4|                 Ajo|  1.00|      diente|
|Albóndigas en Sa...|       4|       Chiles morita|  2.00|      piezas|
|Albóndigas en Sa...|       4|                Agua|  0.50|       litro|
|Albóndigas en Sa...|       4|              Aceite|  1.00|   cucharada|
|Albóndigas en Sa...|       4|                 Sal|  1.00|       gusto|
|Albóndigas en Sa...|       4|            Pimienta|  1.00|       gusto|
|Quinoa a la Mexic...|       6|     Aceite de oliva|  1.00|   cucharada|
|Quinoa a la Mexic...|       6|                 Ajo|  2.00|     dientes|
|Quinoa a la Mexic...|       6|            Jitomate|  0.50|        kilo|
|Quinoa a la Mexic...|       6|       Chiles verdes|  1.00|       gusto|
|Quinoa a la Mexic...|       6|    Frijoles cocidos|  1.00|        lata|
|Quinoa a la Mexic...|       6|              Comino|  0.50| cucharadita|
|Quinoa a la Mexic...|       6|             Cebolla|  0.25|       pieza|
|Quinoa a la Mexic...|       6|                 Sal|  1.00| cucharadita|
+--------------------+--------+--------------------+------+------------+
only showing top 80 rows

