Fecha,Producto,Unidad de Medida,Precio Mínimo,Precio Máximo
2022-01-07,Chile poblano,1Kg,36.00,40.00
2022-01-07,Chile serrano,1Kg,7.00,25.00
2022-01-07,Cebolla bola,1Kg,35.00,45.00
2022-01-07,Chayote sin espina,1Kg,20.00,25.00
2022-01-07,Jitomate Saladette,1Kg,12.00,18.00
2022-01-07,Lechuga romana,1Kg,10.00,17.00
2022-01-07,Papa alpha,1Kg,13.00,20.00
2022-01-07,Pepino,1Kg,10.00,18.00
2022-01-07,Tomate verde,1Kg,30.00,38.00
2022-01-07,Zanahoria mediana,1Kg,10.00,12.00
2022-01-08,Aceite Mixto,1Kg,0.00,0.00
2022-01-08,Arroz largo,1Kg,0.00,0.00
2022-01-08,Azúcar Estándar,1Kg,0.00,0.00
2022-01-08,Harina de Trigo,1Kg,0.00,0.00
2022-01-08,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-08,Frijol Negro,1Kg,0.00,0.00
2022-01-08,Huevo Blanco,1Kg,0.00,0.00
2022-01-08,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-08,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-08,Aguacate Hass,1Kg,0.00,0.00
2022-01-08,Limón con semilla,1Kg,0.00,0.00
2022-01-08,Guayaba,1Kg,0.00,0.00
2022-01-08,Manzana Golden,1Kg,0.00,0.00
2022-01-08,Manzana Starking,1Kg,0.00,0.00
2022-01-08,Naranja mediana,1Kg,0.00,0.00
2022-01-08,Papaya maradol,1Kg,0.00,0.00
2022-01-08,Piña,1Kg,0.00,0.00
2022-01-08,Plátano,1Kg,0.00,0.00
2022-01-08,Sandía,1Kg,0.00,0.00
2022-01-08,Calabacita Italiana,1Kg,0.00,0.00
2022-01-08,Chile poblano,1Kg,0.00,0.00
2022-01-08,Chile serrano,1Kg,0.00,0.00
2022-01-08,Cebolla bola,1Kg,0.00,0.00
2022-01-08,Chayote sin espina,1Kg,0.00,0.00
2022-01-08,Jitomate Saladette,1Kg,0.00,0.00
2022-01-08,Lechuga romana,1Kg,0.00,0.00
2022-01-08,Papa alpha,1Kg,0.00,0.00
2022-01-08,Pepino,1Kg,0.00,0.00
2022-01-08,Tomate verde,1Kg,0.00,0.00
2022-01-08,Zanahoria mediana,1Kg,0.00,0.00
2022-01-09,Aceite Mixto,1Kg,0.00,0.00
2022-01-09,Arroz largo,1Kg,0.00,0.00
2022-01-09,Azúcar Estándar,1Kg,0.00,0.00
2022-01-09,Harina de Trigo,1Kg,0.00,0.00
2022-01-09,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-09,Frijol Negro,1Kg,0.00,0.00
2022-01-09,Huevo Blanco,1Kg,0.00,0.00
2022-01-09,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-09,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-09,Aguacate Hass,1Kg,0.00,0.00
2022-01-09,Limón con semilla,1Kg,0.00,0.00
2022-01-09,Guayaba,1Kg,0.00,0.00
2022-01-09,Manzana Golden,1Kg,0.00,0.00
2022-01-09,Manzana Starking,1Kg,0.00,0.00
2022-01-09,Naranja mediana,1Kg,0.00,0.00
2022-01-09,Papaya maradol,1Kg,0.00,0.00
2022-01-09,Piña,1Kg,0.00,0.00
2022-01-09,Plátano,1Kg,0.00,0.00
2022-01-09,Sandía,1Kg,0.00,0.00
2022-01-09,Calabacita Italiana,1Kg,0.00,0.00
2022-01-09,Chile poblano,1Kg,0.00,0.00
2022-01-09,Chile serrano,1Kg,0.00,0.00
2022-01-09,Cebolla bola,1Kg,0.00,0.00
2022-01-09,Chayote sin espina,1Kg,0.00,0.00
2022-01-09,Jitomate Saladette,1Kg,0.00,0.00
2022-01-09,Lechuga romana,1Kg,0.00,0.00
2022-01-09,Papa alpha,1Kg,0.00,0.00
2022-01-09,Pepino,1Kg,0.00,0.00
2022-01-09,Tomate verde,1Kg,0.00,0.00
2022-01-09,Zanahoria mediana,1Kg,0.00,0.00
2022-01-10,Aceite Mixto,1Kg,32.00,40.00
2022-01-10,Arroz largo,1Kg,16.00,26.00
2022-01-10,Azúcar Estándar,1Kg,35.00,40.00
2022-01-10,Harina de Trigo,1Kg,12.00,16.00
2022-01-10,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-10,Frijol Negro,1Kg,23.00,26.00
2022-01-10,Huevo Blanco,1Kg,33.00,35.00
2022-01-10,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-10,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-10,Aguacate Hass,1Kg,45.00,75.00
2022-01-10,Limón con semilla,1Kg,20.00,30.00
2022-01-10,Guayaba,1Kg,10.00,20.00
2022-01-10,Manzana Golden,1Kg,40.00,50.00
2022-01-10,Manzana Starking,1Kg,40.00,45.00
2022-01-10,Naranja mediana,1Kg,6.00,10.00
2022-01-10,Papaya maradol,1Kg,16.00,18.00
2022-01-10,Piña,1Kg,15.00,20.00
2022-01-10,Plátano,1Kg,10.00,15.00
2022-01-10,Sandía,1Kg,5.00,10.00
2022-01-10,Calabacita Italiana,1Kg,12.00,20.00
2022-01-10,Chile poblano,1Kg,36.00,40.00
2022-01-10,Chile serrano,1Kg,7.00,25.00
2022-01-10,Cebolla bola,1Kg,35.00,45.00
2022-01-10,Chayote sin espina,1Kg,20.00,25.00
2022-01-10,Jitomate Saladette,1Kg,12.00,18.00
2022-01-10,Lechuga romana,1Kg,10.00,17.00
2022-01-10,Papa alpha,1Kg,13.00,20.00
2022-01-10,Pepino,1Kg,10.00,18.00
2022-01-10,Tomate verde,1Kg,30.00,38.00
2022-01-10,Zanahoria mediana,1Kg,10.00,12.00
2022-01-11,Aceite Mixto,1Kg,32.00,40.00
2022-01-11,Arroz largo,1Kg,16.00,26.00
2022-01-11,Azúcar Estándar,1Kg,35.00,40.00
2022-01-11,Harina de Trigo,1Kg,12.00,16.00
2022-01-11,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-11,Frijol Negro,1Kg,23.00,26.00
2022-01-11,Huevo Blanco,1Kg,33.00,35.00
2022-01-11,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-11,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-11,Aguacate Hass,1Kg,45.00,75.00
2022-01-11,Limón con semilla,1Kg,20.00,30.00
2022-01-11,Guayaba,1Kg,10.00,20.00
2022-01-11,Manzana Golden,1Kg,40.00,50.00
2022-01-11,Manzana Starking,1Kg,40.00,45.00
2022-01-11,Naranja mediana,1Kg,6.00,10.00
2022-01-11,Papaya maradol,1Kg,16.00,18.00
2022-01-11,Piña,1Kg,15.00,20.00
2022-01-11,Plátano,1Kg,10.00,15.00
2022-01-11,Sandía,1Kg,5.00,10.00
2022-01-11,Calabacita Italiana,1Kg,12.00,20.00
2022-01-11,Chile poblano,1Kg,36.00,40.00
2022-01-11,Chile serrano,1Kg,7.00,25.00
2022-01-11,Cebolla bola,1Kg,35.00,45.00
2022-01-11,Chayote sin espina,1Kg,20.00,25.00
2022-01-11,Jitomate Saladette,1Kg,12.00,18.00
2022-01-11,Lechuga romana,1Kg,10.00,17.00
2022-01-11,Papa alpha,1Kg,13.00,20.00
2022-01-11,Pepino,1Kg,10.00,18.00
2022-01-11,Tomate verde,1Kg,30.00,38.00
2022-01-11,Zanahoria mediana,1Kg,10.00,12.00
2022-01-12,Aceite Mixto,1Kg,32.00,40.00
2022-01-12,Arroz largo,1Kg,16.00,26.00
2022-01-12,Azúcar Estándar,1Kg,35.00,40.00
2022-01-12,Harina de Trigo,1Kg,12.00,16.00
2022-01-12,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-12,Frijol Negro,1Kg,23.00,26.00
2022-01-12,Huevo Blanco,1Kg,33.00,35.00
2022-01-12,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-12,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-12,Aguacate Hass,1Kg,45.00,75.00
2022-01-12,Limón con semilla,1Kg,20.00,30.00
2022-01-12,Guayaba,1Kg,10.00,20.00
2022-01-12,Manzana Golden,1Kg,40.00,50.00
2022-01-12,Manzana Starking,1Kg,40.00,45.00
2022-01-12,Naranja mediana,1Kg,6.00,10.00
2022-01-12,Papaya maradol,1Kg,16.00,18.00
2022-01-12,Piña,1Kg,15.00,20.00
2022-01-12,Plátano,1Kg,10.00,15.00
2022-01-12,Sandía,1Kg,5.00,10.00
2022-01-12,Calabacita Italiana,1Kg,12.00,20.00
2022-01-12,Chile poblano,1Kg,36.00,40.00
2022-01-12,Chile serrano,1Kg,7.00,25.00
2022-01-12,Cebolla bola,1Kg,35.00,45.00
2022-01-12,Chayote sin espina,1Kg,20.00,25.00
2022-01-12,Jitomate Saladette,1Kg,12.00,18.00
2022-01-12,Lechuga romana,1Kg,10.00,17.00
2022-01-12,Papa alpha,1Kg,13.00,20.00
2022-01-12,Pepino,1Kg,10.00,18.00
2022-01-12,Tomate verde,1Kg,30.00,38.00
2022-01-12,Zanahoria mediana,1Kg,10.00,12.00
2022-01-13,Aceite Mixto,1Kg,32.00,40.00
2022-01-13,Arroz largo,1Kg,16.00,26.00
2022-01-13,Azúcar Estándar,1Kg,35.00,40.00
2022-01-13,Harina de Trigo,1Kg,12.00,16.00
2022-01-13,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-13,Frijol Negro,1Kg,23.00,26.00
2022-01-13,Huevo Blanco,1Kg,33.00,35.00
2022-01-13,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-13,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-13,Aguacate Hass,1Kg,45.00,75.00
2022-01-13,Limón con semilla,1Kg,20.00,30.00
2022-01-13,Guayaba,1Kg,10.00,20.00
2022-01-13,Manzana Golden,1Kg,40.00,50.00
2022-01-13,Manzana Starking,1Kg,40.00,45.00
2022-01-13,Naranja mediana,1Kg,6.00,10.00
2022-01-13,Papaya maradol,1Kg,16.00,18.00
2022-01-13,Piña,1Kg,15.00,20.00
2022-01-13,Plátano,1Kg,10.00,15.00
2022-01-13,Sandía,1Kg,5.00,10.00
2022-01-13,Calabacita Italiana,1Kg,12.00,20.00
2022-01-13,Chile poblano,1Kg,36.00,40.00
2022-01-13,Chile serrano,1Kg,7.00,25.00
2022-01-13,Cebolla bola,1Kg,35.00,45.00
2022-01-13,Chayote sin espina,1Kg,20.00,25.00
2022-01-13,Jitomate Saladette,1Kg,12.00,18.00
2022-01-13,Lechuga romana,1Kg,10.00,17.00
2022-01-13,Papa alpha,1Kg,13.00,20.00
2022-01-13,Pepino,1Kg,10.00,18.00
2022-01-13,Tomate verde,1Kg,30.00,38.00
2022-01-13,Zanahoria mediana,1Kg,10.00,12.00
2022-01-14,Aceite Mixto,1Kg,32.00,40.00
2022-01-14,Arroz largo,1Kg,16.00,26.00
2022-01-14,Azúcar Estándar,1Kg,35.00,40.00
2022-01-14,Harina de Trigo,1Kg,12.00,16.00
2022-01-14,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-14,Frijol Negro,1Kg,23.00,26.00
2022-01-14,Huevo Blanco,1Kg,33.00,35.00
2022-01-14,Carne Molida
Sirloin 90-10,1Kg,140.00,148.00
2022-01-14,Bistec Diezmillo de
Res,1Kg,140.00,150.00
2022-01-14,Aguacate Hass,1Kg,45.00,75.00
2022-01-14,Limón con semilla,1Kg,40.00,60.00
2022-01-14,Guayaba,1Kg,10.00,20.00
2022-01-14,Manzana Golden,1Kg,40.00,50.00
2022-01-14,Manzana Starking,1Kg,40.00,45.00
2022-01-14,Naranja mediana,1Kg,6.00,10.00
2022-01-14,Papaya maradol,1Kg,16.00,18.00
2022-01-14,Piña,1Kg,15.00,20.00
2022-01-14,Plátano,1Kg,10.00,15.00
2022-01-14,Sandía,1Kg,5.00,10.00
2022-01-14,Calabacita Italiana,1Kg,12.00,20.00
2022-01-14,Chile poblano,1Kg,36.00,40.00
2022-01-14,Chile serrano,1Kg,7.00,25.00
2022-01-14,Cebolla bola,1Kg,35.00,45.00
2022-01-14,Chayote sin espina,1Kg,20.00,25.00
2022-01-14,Jitomate Saladette,1Kg,12.00,18.00
2022-01-14,Lechuga romana,1Kg,10.00,17.00
2022-01-14,Papa alpha,1Kg,13.00,20.00
2022-01-14,Pepino,1Kg,10.00,18.00
2022-01-14,Tomate verde,1Kg,30.00,38.00
2022-01-14,Zanahoria mediana,1Kg,10.00,12.00
2022-01-15,Aceite Mixto,1Kg,0.00,0.00
2022-01-15,Arroz largo,1Kg,0.00,0.00
2022-01-15,Azúcar Estándar,1Kg,0.00,0.00
2022-01-15,Harina de Trigo,1Kg,0.00,0.00
2022-01-15,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-15,Frijol Negro,1Kg,0.00,0.00
2022-01-15,Huevo Blanco,1Kg,0.00,0.00
2022-01-15,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-15,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-15,Aguacate Hass,1Kg,0.00,0.00
2022-01-15,Limón con semilla,1Kg,0.00,0.00
2022-01-15,Guayaba,1Kg,0.00,0.00
2022-01-15,Manzana Golden,1Kg,0.00,0.00
2022-01-15,Manzana Starking,1Kg,0.00,0.00
2022-01-15,Naranja mediana,1Kg,0.00,0.00
2022-01-15,Papaya maradol,1Kg,0.00,0.00
2022-01-15,Piña,1Kg,0.00,0.00
2022-01-15,Plátano,1Kg,0.00,0.00
2022-01-15,Sandía,1Kg,0.00,0.00
2022-01-15,Calabacita Italiana,1Kg,0.00,0.00
2022-01-15,Chile poblano,1Kg,0.00,0.00
2022-01-15,Chile serrano,1Kg,0.00,0.00
2022-01-15,Cebolla bola,1Kg,0.00,0.00
2022-01-15,Chayote sin espina,1Kg,0.00,0.00
2022-01-15,Jitomate Saladette,1Kg,0.00,0.00
2022-01-15,Lechuga romana,1Kg,0.00,0.00
2022-01-15,Papa alpha,1Kg,0.00,0.00
2022-01-15,Pepino,1Kg,0.00,0.00
2022-01-15,Tomate verde,1Kg,0.00,0.00
2022-01-15,Zanahoria mediana,1Kg,0.00,0.00
2022-01-16,Aceite Mixto,1Kg,0.00,0.00
2022-01-16,Arroz largo,1Kg,0.00,0.00
2022-01-16,Azúcar Estándar,1Kg,0.00,0.00
2022-01-16,Harina de Trigo,1Kg,0.00,0.00
2022-01-16,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-16,Frijol Negro,1Kg,0.00,0.00
2022-01-16,Huevo Blanco,1Kg,0.00,0.00
2022-01-16,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-16,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-16,Aguacate Hass,1Kg,0.00,0.00
2022-01-16,Limón con semilla,1Kg,0.00,0.00
2022-01-16,Guayaba,1Kg,0.00,0.00
2022-01-16,Manzana Golden,1Kg,0.00,0.00
2022-01-16,Manzana Starking,1Kg,0.00,0.00
2022-01-16,Naranja mediana,1Kg,0.00,0.00
2022-01-16,Papaya maradol,1Kg,0.00,0.00
2022-01-16,Piña,1Kg,0.00,0.00
2022-01-16,Plátano,1Kg,0.00,0.00
2022-01-16,Sandía,1Kg,0.00,0.00
2022-01-16,Calabacita Italiana,1Kg,0.00,0.00
2022-01-16,Chile poblano,1Kg,0.00,0.00
2022-01-16,Chile serrano,1Kg,0.00,0.00
2022-01-16,Cebolla bola,1Kg,0.00,0.00
2022-01-16,Chayote sin espina,1Kg,0.00,0.00
2022-01-16,Jitomate Saladette,1Kg,0.00,0.00
2022-01-16,Lechuga romana,1Kg,0.00,0.00
2022-01-16,Papa alpha,1Kg,0.00,0.00
2022-01-16,Pepino,1Kg,0.00,0.00
2022-01-16,Tomate verde,1Kg,0.00,0.00
2022-01-16,Zanahoria mediana,1Kg,0.00,0.00
2022-01-17,Aceite Mixto,1Kg,30.00,44.00
2022-01-17,Arroz largo,1Kg,16.00,26.00
2022-01-17,Azúcar Estándar,1Kg,35.00,40.00
2022-01-17,Harina de Trigo,1Kg,12.00,16.00
2022-01-17,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-17,Frijol Negro,1Kg,23.00,26.00
2022-01-17,Huevo Blanco,1Kg,33.00,35.00
2022-01-17,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-17,Bistec Diezmillo de
